url,episode_count,episode_ids,episode_title_sample,verification_status,evidence_notes
https://www.nature.com/articles/d41586-017-08964-1,7,dr-david-linden-life-death-and-the-neuroscience-of-your-unique-experience;dr-martha-beck-accessing-your-best-self-with-mind-body-practices-belief-testing-imagination;dr-terry-sejnowski-how-to-improve-at-learning-using-neuroscience-ai;improving-science-restoring-trust-in-public-health-dr-jay-bhattacharya;male-vs-female-brain-differences-how-they-arise-from-genes-hormones-dr-nirao-shah;transform-your-mental-health-with-diet-lifestyle-dr-chris-palmer;using-stem-cells-to-cure-autism-epilepsy-and-schizophrenia-dr-sergiu-pasca,"Using Stem Cells to Cure Autism, Epilepsy & Schizophrenia | Dr. Sergiu Pașca",verified-study,可作为人物/学术关系语料，不能作为实验疗效证据（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.sciencedirect.com/science/article/abs/pii/S016643281830322X?via%3Dihub,7,dr-wendy-suzuki-boost-attention-and-memory-with-science-based-tools;essentials-tools-to-boost-attention-and-memory-wendy-suzuki;focus-toolkit-tools-to-improve-your-focus-and-concentration;how-meditation-works-and-science-based-effective-meditations;how-nature-other-physical-environments-impact-your-focus-cognition-health-marc-berman;nicotines-effects-on-the-brain-and-body-and-how-to-quit-smoking-or-vaping;understand-and-improve-memory-using-science-based-tools,Understand & Improve Memory Using Science-Based Tools,verified-study,人工研究级核验：42 名 18–45 岁健康冥想新手随机接受每日 13 分钟引导冥想或播客主动对照 8 周；4 周无显著效果，8 周时部分情绪、注意与记忆指标改善，但睡眠质量指标出现反向结果且依从性不同。不能外推为普遍最低剂量或精神疾病治疗。证据卡：academic-study-cards.jsonl#basso-2019-brief-daily-meditation。
https://www.cell.com/cell/fulltext/S0092-8674(21)00754-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421007546%3Fshowall%3Dtrue,5,dr-justin-sonnenburg-how-to-build-maintain-and-repair-gut-health;eating-for-better-sleep-and-foods-that-improve-metabolic-health-marie-pierre-st-onge;essentials-build-maintain-repair-gut-health-justin-sonnenburg;essentials-improving-health-with-stronger-brain-body-connection;transform-metabolic-health-longevity-unique-biology-michael-snyder,Transform Your Metabolic Health & Longevity by Knowing Your Unique Biology | Dr. Michael Snyder,verified-study,高纤维组主要细胞因子反应评分未改变，高发酵食物组微生物多样性增加且炎症标志物下降；样本和期限有限，不能推出人人适用的肠道、免疫或减重处方（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.cell.com/neuron/fulltext/S0896-6273(13)01030-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627313010301%3Fshowall%3Dtrue,5,accelerate-learning-and-increase-cognitive-capacity-tommy-wood;expand-consciousness-dr-christof-koch;how-to-increase-your-willpower-and-tenacity;restore-youthfulness-and-vitality-to-the-aging-brain-and-body-tony-wyss-coray;the-mental-frame-and-specific-daily-actions-to-succeed-andy-stumpf,The Mental Frame & Specific Daily Actions to Succeed | Andy Stumpf,verified-study,研究是临床电极条件下的两名患者病例，不能转化为居家脑刺激、动机训练或治疗方案（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.nature.com/articles/s41593-021-00982-7,5,controlling-sugar-cravings-and-metabolism-with-science-based-tools;dr-diego-bohorquez-the-science-of-your-gut-sense-the-gut-brain-axis;essentials-control-sugar-cravings-and-metabolism-with-science-based-tools;how-to-enhance-your-gut-microbiome-for-brain-and-overall-health;using-salt-to-optimize-mental-and-physical-performance,Using Salt to Optimize Mental & Physical Performance,verified-study,文章摘要和结果以小鼠、细胞与光遗传学实验为主；不直接推出人类饮食或补剂处方（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.sciencedirect.com/science/article/abs/pii/S0926641001001069?via%3Dihub,5,dr-charan-ranganath-how-to-improve-memory-focus-using-science-protocols;essentials-master-your-sleep-be-more-alert-when-awake;the-science-of-creativity-and-how-to-enhance-creative-innovation;tools-for-overcoming-substance-behavioral-addictions-ryan-soave;tools-to-enhance-working-memory-attention,Tools to Enhance Working Memory & Attention,verified-study,研究比较闭眼听语音与主动冥想条件，结果是特定 PET 代理指标；不能把“多巴胺”当作个人仪表盘，也不能推出统一冥想剂量或精神科治疗效果（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://link.springer.com/article/10.1007/s004210050065?noAccess=true,4,dr-susanna-soberg-how-to-use-cold-and-heat-exposure-to-improve-your-health;leverage-dopamine-to-overcome-procrastination-and-optimize-effort;tools-to-enhance-working-memory-attention;using-deliberate-cold-exposure-for-health-and-performance,Using Deliberate Cold Exposure for Health and Performance,pending,
https://www.cell.com/cell-metabolism/fulltext/S1550-4131(19)30248-7,4,dr-casey-means-transform-your-health-by-improving-metabolism-hormone-blood-sugar-regulation;dr-layne-norton-tools-for-nutrition-fitness;dr-zachary-knight-the-science-of-hunger-medications-to-combat-obesity;transform-your-mental-health-with-diet-lifestyle-dr-chris-palmer,Transform Your Mental Health With Diet & Lifestyle | Dr. Chris Palmer,verified-study,每种饮食约 2 周且在住院供餐条件下比较；支持食物环境/可食量机制，但不等于所有加工食品均有同效应或替代个体化营养管理（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.jstor.org/stable/1914185,4,dr-david-yeager-how-to-master-growth-mindset-to-improve-performance;dr-ellen-langer-using-your-mind-to-control-your-physical-health-longevity;dr-jamil-zaki-how-to-cultivate-a-positive-growth-oriented-mindset;morgan-housel-understand-apply-the-psychology-of-money-to-gain-greater-happiness,Morgan Housel: Understand & Apply the Psychology of Money to Gain Greater Happiness,pending,
https://www.nature.com/articles/s41591-021-01336-3,4,dr-robin-carhart-harris-the-science-of-psychedelics-for-mental-health;essentials-psychedelics-neurostimulation-for-brain-rewiring-nolan-williams;essentials-understanding-treating-addiction-dr-anna-lembke;the-science-of-mdma-and-its-therapeutic-applications,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks,verified-study,n=90；研究包含手册化心理治疗、三次实验性给药与整合治疗；主要随访较短、盲法可能受主观药效影响，不能外推为娱乐使用或自行治疗（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.nature.com/articles/s41598-021-02311-1,4,dr-jeffrey-goldberg-how-to-improve-your-eye-health-and-offset-vision-loss;dr-peter-attia-supplements-for-longevity-their-efficacy;how-to-enhance-your-immune-system-dr-roger-seheult;red-light-to-improve-metabolism-and-harmful-effects-of-led-glen-jeffery,Using Red Light to Improve Metabolism & the Harmful Effects of LEDs | Dr. Glen Jeffery,verified-study,结果是视觉特定、探索性和短期的；不等于全身代谢、认知或疾病治疗，设备剂量与眼部安全必须单独评估（证据台账回链；来源题名与 Episode 主题仍需分别解读。）
https://www.nature.com/articles/s44220-023-00135-8,4,guest-series-dr-matt-walker-improve-sleep-to-boost-mood-emotional-regulation;journal-club-with-dr-peter-attia-effects-of-light-dark-on-mental-health-treatments-for-cancer;mental-health-toolkit-tools-to-bolster-your-mood-mental-health;restore-youthfulness-and-vitality-to-the-aging-brain-and-body-tony-wyss-coray,Restore Youthfulness & Vitality to the Aging Brain & Body | Dr. Tony Wyss-Coray,verified-observational,"超过 85,000 人的客观光照研究；关联不证明改变光照可预防或治疗精神障碍，混杂和反向因果仍需考虑（证据台账回链；来源题名与 Episode 主题仍需分别解读。）"
https://www.pnas.org/doi/10.1073/pnas.2113290119,4,how-to-enhance-your-immune-system-dr-roger-seheult;mental-health-toolkit-tools-to-bolster-your-mood-mental-health;red-light-to-improve-metabolism-and-harmful-effects-of-led-glen-jeffery;using-light-sunlight-blue-light-and-red-light-to-optimize-health,"Using Light (Sunlight, Blue Light & Red Light) to Optimize Health",pending,
